[Matrix Result by MPI]
3.74	3.43	3.88	4.20	3.54	4.35	3.23	3.86	4.81	4.32	2.67	3.51	4.96	3.01	3.10	
3.32	2.93	3.99	3.93	3.40	4.54	2.94	4.14	4.71	4.55	2.97	2.99	4.00	3.61	3.52	
5.07	4.80	5.28	4.29	4.13	5.47	3.83	4.64	5.48	5.69	3.96	4.38	5.36	3.51	4.42	
3.15	3.25	3.81	3.63	3.04	4.22	2.95	3.62	4.44	4.40	3.09	2.82	4.38	2.86	3.37	
4.09	4.08	4.57	5.19	4.28	5.96	3.36	4.69	5.47	5.36	3.72	3.73	5.78	3.54	3.98	
4.69	4.74	5.05	5.34	4.85	6.47	3.89	5.35	6.02	5.89	3.52	4.43	6.63	4.14	4.80	
3.60	3.19	4.15	3.86	3.49	4.37	2.22	4.44	4.33	4.42	2.57	2.88	4.51	3.43	3.43	
3.37	3.07	3.75	3.98	3.29	4.32	2.43	3.80	4.57	4.63	2.81	2.76	4.39	2.64	3.74	
4.81	4.89	5.25	5.78	4.98	6.41	3.76	5.40	6.57	6.53	3.97	4.29	6.86	4.10	4.71	
3.84	4.10	3.93	3.64	3.94	4.82	2.74	3.63	4.48	5.36	3.09	3.35	4.91	3.01	3.33	
4.21	3.84	4.48	4.66	3.97	5.53	3.59	4.50	5.27	5.02	3.89	3.87	4.92	3.19	3.79	
3.11	3.04	4.18	3.44	3.30	4.63	2.64	3.59	3.96	4.76	3.20	3.13	3.86	2.78	2.92	
4.50	4.21	3.80	4.36	3.65	4.78	3.31	4.65	5.21	4.79	3.16	3.56	5.55	3.15	4.29	
4.48	3.80	3.72	4.09	3.75	5.05	3.34	4.54	4.67	4.74	3.18	3.19	4.69	3.08	4.78	
3.82	3.06	3.76	3.96	3.87	5.13	2.50	3.96	4.15	4.61	2.95	3.16	4.30	2.61	3.84	
